regime,seed,event_rank,event_epoch,event_score,event_selfrep_index,event_tape_hex,takeover_epoch
R,15,1,1650,63.0,0,03cf5b44d8e31b222c77e47dda5e003c5dad57c17a0b0b527a10c1a557dfad0c5d793c00005e5e4fdada7d45e4d977602cac22ee1bafe3bed8f844535b03cf02,6511
R,15,2,2511,63.0,0,105b5b2c5b5b5bba69780f7e8e2c7d3c5d105d5d105d105d5d105d5d105d5d5d5d105d5d105d5d105d105d5d105d3c7d2c8e7e0f7869ba5b5b5b2c5b5b105b67,6511
R,21,1,231,63.0,0,dc710f468a5bf657e31da17dd0173c2cb6585d9f1880af189b9f855d1f1f5d859f9b18af80189f5d58b62c3c17d07da11de357f65b8a460f71dc72cd70170eda,10554
R,21,2,398,63.0,0,2f68e4495b0c50aa2ebc7b3e15525a465da7eaaf2294948c2248af2ceaaaa7655d5d65a7aaea2caf48228c949422afeaa75d465a52153e7bbc2eaa500c5b49e4,10554
R,37,1,2683,63.0,0,b32540ea105bb9013cd1f669997d792c5d3b17cc333a331fcc4317903bf15df13b901743cc1f333a33cc173b5d2c797d9969f6d13c01b95b10ea4025b308f16e,
R,37,2,2769,64.0,0,6a2c5b5b5b5b5b5b5b363c552c7d3b5d3d784d3d0f803dfa4d3d78913dea5d5dea3d91783d4dfa3d800f3d4d783d5d3b7d2c553c365b5b5b5b5b5b5b2c6a6ad1,
R,45,1,275,63.0,0,0b3e66077cd85b10713c6d1c214ee12c7d33b6fff1dfdf0ef103ff39b631335d5d3331b639ff03f10edfdff1ffb6337d2ce14e211c6d3c71105bd87c07663e0b,
R,45,2,2855,63.0,0,4777b2a4d057b55b9296f6bff62079b72c7d3a5ab83a3a6bb8ff5a3c3a5d3a3c5affb86b3a3ab85a3a7d2cb77920f6bff696925bb557d0a4b27747449e3b3b9e,
R,49,1,467,64.0,0,015b7bb2377f2e57b11406a93843723e5d2ea1d942544277d98fa18e2ef45d61615df42e8ea18fd977425442d9a12e5d3e724338a90614b1572e7f37b27b5b01,504
R,49,2,504,62.0,0,3e3e51515555e8e83d3d0202015b7bb2377f2e57b11406a93843723e5d2ea1d942544277d977425442d9a12e5d3e724338a90614b1572e7f37b27b5b0160a27d,504
R,56,1,3025,63.0,0,8aab5b5bab5b5bab5b93aba3b22ee03e3a26d35a268126817b268a5a26d35a265d265ad3265a8a267b812681265ad3263a3ee02eb2a3ab935bab5b5bab5b5bab,
R,56,2,3067,63.0,0,80e27b339178575b5a7c427b9dbc2e15a0e49cb7e2e3ea7430709c42dd3e5d5b5b5b5d3edd429c703074eae3e2b79ce4a0152ebc9d7b427c5a5b577891337be2,
R,57,1,1858,63.0,0,84efbd3c335b0606060661e493e0e27d18f23d3d2c3d2c3d3d4b3d3cf235185d5d1835f23c3d4b3d3d2c3d2c3d3df2187de2e093e461060606065b333cbdef84,9582
R,57,2,2391,64.0,0,5b5b5b4f5b5b953c8675eb96622c7d5dfefefefefefefefefefefefefefe5d5dfefefefefefefefefefefefefefe5d7d2c6296eb75863c955b5b4f5b5b5ba63d,9582
R,58,1,1934,63.0,0,5b5bacac5bacacacacac3aac3c7dac7d7b412c3869a63d40a630691238e72c46415d41462ce738126930a6403da669382c417b7dac7d3cac3aacacacacac5bac,12377
R,58,2,2155,62.0,0,2cb405169e4dff7f5bbef413b7ff677d7625252525622525252c2525253c765d5d763c2525252c2525256225252525767d67ffb713f4be5b7fff4d9e1605b42c,12377
R,60,1,2078,63.0,0,58014088e4265b21badc49670e0c3c7d2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c5d7d5d2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c7d3c0c0e6749dcba215b26e4884001,6475
R,60,2,2249,62.0,0,5b5b5b5b5b5b5b5b5b5b5b5be67d3c742ccde9c4c49ae931cd672c5c745d5d745c2c67cd31e99ac4c4e9cd2c743c7de65b5b5b5b5b5b5b5b5b5b5b5b7dc23cdb,6475
R,61,1,425,63.0,0,fe5b2c2c8d457d0cf107bb683c860f04f608a7c91e4062195eee322f2f672a2c5d2c2a672f2f32ee5e1962401ec9a708f6040f863c68bb07f10c7d458d2c2c5b,721
R,61,2,649,63.0,0,571e10045b0c2c8df02607bb683c7d5d0aba4dc05e45c0114dadbaa80afe5d5dfe0aa8baad4d11c0455ec04dba0a5d7d3c68bb0726f08d2c0c5b04101e5769f6,721
R,64,1,695,64.0,0,2e654fa693155bdacf89c03c2c7dd327b0621d3579fc79ce351b1da062e9b05db0e962a01d1b35ce79fc79351d62b027d37d2c3cc089cfda5b1593a64f652e2e,
R,64,2,1390,63.0,0,ffc0cf5b4e4f2e473ec902c9aa473f7b35deec22a9344f4c4fa84f4f4f4f4f5d5d4f4f4f4f4fa84f4c4f34a922ecde357b3f47aac902c93e472e4f4e5bcfc0ff,
R,66,1,1935,64.0,0,3c3c893ea0415b2cf675038b0e7d51d3f6c7aa8f7f7f7a8f3caa43c780f65d5df680c743aa3c8f7a7f7f8faac7f6d3517d0e8b0375f62c5b41a03e893c3cd335,
R,66,2,2037,63.0,0,73e4e75b5bf1f11c1cb9b9eeee8e7d3c2c1ea35d97b453b49797125d8a8a5d129797b453b4975da31e2c3c7d8eeeeeb9b91c1cf1f15b5be7e4738a5f759cde26,
R,69,1,1954,63.0,0,4140406c6c5b5b05052c8e6d7d670c3c5d5dd59bd7dede0ad7749b4dd53e5d5d5d5d5d5d3ed54d9b74d70adeded79bd55d5d3c0c677d6d8e2c05055b5b6c6c40,
R,69,2,1982,63.0,0,6c6c6c6c925b5b05052c2c017d670c3cf20a5d8dc1545484c1d18d1a5dfe5d1a8dd1c1845454c18d5d0af23c0c677d012c2c05055b5b926c6c6c6c4040406c6c,
R,70,1,1806,63.0,0,00cb2dcf5b0fc8b5e04002e42cec7d3ccce45d5a110b0b8b11985a465d15155d465a98118b0b0b115a5de4cc3c7dec2ce40240e0b5c80f5bcf2dcb01b9ff3429,10702
R,70,2,2152,64.0,0,5b3c44a6512cd809a16b52dd9b45af7d14948891430e435891e688aa9443145d144394aa88e69158430e43918894147daf459bdd526ba109d82c51a6443c5b45,10702
R,74,1,1429,63.0,0,96ea00371cbca2671c5bececec1ce42c7dae3c76a38337a4a360765d3c1c5a007d8d2c5be41cececec2fececec1cececec50ececec78ececec54ec7005113c3e,
R,74,2,1914,63.0,0,9b5b5b5b5b5b5b5b5b5b5b5b2c3c7d5e0cb3a6b3e1efe1ddb3a6a6a6b38a0c5d5e5d0c8ab3a6a6a6b3dde1efe1b3a6b30c5e7d3c2c5b5b5b5b5b5b5b5b5b5b5b,
R,76,1,1313,63.0,0,e2bfacde5b8306b86b122c2c2c3c807d1f12d761b0b0306182d79d12f31f5d7d5d1ff3129dd7826130b0b061d7121f7d803c2c2c2c126bb806835bdeacbfe281,
R,76,2,2759,64.0,0,fbdb66a803015b7ba78b73dc2e73a83effe93885442644ca85433816e9b0ff5d3e5dffb0e916384385ca4426448538e9ff3ea8732edc738ba77b5b0103a866db,
