fixed_id,fixed_label,bracket_position,inert_byte,fixed_hex,fixed_strip,source_event_id,source_regime,source_seed,source_discovery_epoch,partner_group,source_focal_slot,source_partner_slot,concat_order
59,R-derived_64_2,0,0,5d5e5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5bf95b2c0001c1,"][[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,0",64_2,R,64,1390,R-derived,129762,109058,partner+focal
60,R-derived_66_1,0,0,5d5dcdf6e780e8c7904339aae63ce48f5c7aba7f6989f2e93c2e22c873a1d586f6fd5744ecd76bb0835c2129e92b777d337577413ba377e9c456403c3c60e535,]]<<.+}<<,66_1,R,66,1935,R-derived,42210,64313,partner+focal
61,R-derived_69_1,0,0,5d5d5d5d5dea3e1cd5cf4dcd9bd274c0d73b0a79de272718de81793b0ad23be5d702c05974cdd2e79b9fcde34d0ccf74d5111cb73eca96ea3e792735273c3c3c,]]]]]>>><<<,69_1,R,69,1954,R-derived,6495,43249,partner+focal
62,R-derived_69_2,0,0,f25c54530a4bfef35dfe1a838d93d1a7c1bc8426544711192e873f5cd9d27a9ce79f924a91e93d8a42ac24a2e10111d00b7b2929c59709d0e808293cdc2c2e2f,"].{<,.",69_2,R,69,1982,R-derived,21140,114455,partner+focal
63,R-derived_70_2,0,0,5d5b141843039486aa888801e6f891685885433d0e17859fb23b99d6096b883dc35b1803868801f868853d4c9f3bd66b3d4cb3e5e585173b6b612c8e2c5a3a3a,"][[,,",70_2,R,70,2152,R-derived,113909,93749,partner+focal
64,R-derived_74_2,0,0,5d5d0c4d8a3cb3b3a6a6a6b3a6a6b3c9dd4de141ef1baeeeb2a31185e6aab45364a9e3bb86811effc42c57091620cc7d82cab0c3655165bcfdb56edb3c323c3b,"]]<,}<<",74_2,R,74,1914,R-derived,24472,80383,partner+focal
65,R-derived_76_1,0,0,5d5ddc1f9ff3a012c59dbad7628257619e3007b09aa0f9bb78ee2dc4ebc5800ef675f1a301b39cff8a3e4e509db3fc36bd44fd19eefcd415d486c53a3b3dfb81,]]->,76_1,R,76,1313,R-derived,18515,15872,partner+focal
66,R-derived_76_2,0,0,5d40ff41b040e9411640384143408541ca40444126407341ba4065416f40a3419f405b41fb407842a84042413c4047413c8d3c3d7e7f7e4145517e887e7e7e7e,][<<<,76_2,R,76,2759,R-derived,50572,89848,partner+focal
67,R-derived_90_1,0,0,5d22602d68383f8b86a247a1213f47f63f223990e4ef27d38827a43e3e92dde4b6094643bbd7caaac23877dcdb96e6299fc814c926064e917b6c3445913c913c,]->>{<<,90_1,R,90,1907,R-derived,116640,111861,partner+focal
68,R-derived_94_1,0,0,5d5dcc3232493c2e7da4e271251b2ecba29746893d886fef24673c1d87131b9137f12cd6a8b6ecce1339a412fdc5cbb477b7109b2a7214349f3c4d3c3c3c383c,"]]<.}.<,<<<<<",94_1,R,94,1804,R-derived,57239,2938,partner+focal
69,R-derived_99_1,0,0,5d9d3535833d09322a342e439797d735e0c1f8550d4e2bd1d8ff0ec06ff1a6484565171261a9a3cab78854db410bc2ab080c0b6c0c14290c450c2c3aedb8b8ed,"].+,",99_1,R,99,1740,R-derived,3170,19393,partner+focal
70,R-derived_99_2,0,0,5d601ad6823bd53ad79d9d61d754198282d6bcba17d65b3ca73ad75a5a3ad73b53aeaed6f0ba37d63dbb4a3bd78d8d3a3c3ac08484d6c1c13cd63dc16d10c110,][<<<,99_2,R,99,2208,R-derived,102941,89034,partner+focal
